probability	num_empty_space	num_suit_left	num_to_draw	deck_size
        0.538	            1	            1	           16	           31
        0.568	            1	            1	           17	           31
        0.036	            1	            1	            1	           32
        0.064	            1	            1	            2	           32
        0.088	            1	            1	            3	           32
        0.132	            1	            1	            4	           32
        0.148	            1	            1	            5	           32
        0.204	            1	            1	            6	           32
        0.214	            1	            1	            7	           32
        0.284	            1	            1	            8	           32
        0.294	            1	            1	            9	           32
        0.322	            1	            1	           10	           32
        0.356	            1	            1	           11	           32
        0.394	            1	            1	           12	           32
        0.414	            1	            1	           13	           32
        0.426	            1	            1	           14	           32
         0.49	            1	            1	           15	           32
        0.472	            1	            1	           16	           32
        0.486	            1	            1	           17	           32
        0.024	            1	            1	            1	           33
        0.058	            1	            1	            2	           33
        0.086	            1	            1	            3	           33
        0.124	            1	            1	            4	           33
         0.16	            1	            1	            5	           33
         0.13	            1	            1	            6	           33
        0.226	            1	            1	            7	           33
        0.234	            1	            1	            8	           33
        0.258	            1	            1	            9	           33
        0.312	            1	            1	           10	           33
        0.302	            1	            1	           11	           33
        0.344	            1	            1	           12	           33
        0.392	            1	            1	           13	           33
        0.396	            1	            1	           14	           33
        0.452	            1	            1	           15	           33
          0.5	            1	            1	           16	           33
        0.526	            1	            1	           17	           33
        0.024	            1	            1	            1	           34
         0.04	            1	            1	            2	           34
        0.094	            1	            1	            3	           34
        0.088	            1	            1	            4	           34
        0.158	            1	            1	            5	           34
        0.202	            1	            1	            6	           34
         0.18	            1	            1	            7	           34
        0.254	            1	            1	            8	           34
        0.248	            1	            1	            9	           34
        0.234	            1	            1	           10	           34
        0.338	            1	            1	           11	           34
         0.34	            1	            1	           12	           34
        0.388	            1	            1	           13	           34
         0.45	            1	            1	           14	           34
        0.446	            1	            1	           15	           34
        0.474	            1	            1	           16	           34
        0.464	            1	            1	           17	           34
        0.026	            1	            1	            1	           35
        0.068	            1	            1	            2	           35
         0.08	            1	            1	            3	           35
         0.15	            1	            1	            4	           35
        0.138	            1	            1	            5	           35
        0.206	            1	            1	            6	           35
        0.218	            1	            1	            7	           35
        0.262	            1	            1	            8	           35
        0.258	            1	            1	            9	           35
        0.286	            1	            1	           10	           35
        0.356	            1	            1	           11	           35
        0.378	            1	            1	           12	           35
        0.354	            1	            1	           13	           35
        0.404	            1	            1	           14	           35
        0.434	            1	            1	           15	           35
        0.394	            1	            1	           16	           35
        0.494	            1	            1	           17	           35
        0.028	            1	            1	            1	           36
        0.046	            1	            1	            2	           36
         0.07	            1	            1	            3	           36
        0.116	            1	            1	            4	           36
        0.128	            1	            1	            5	           36
        0.134	            1	            1	            6	           36
         0.21	            1	            1	            7	           36
         0.22	            1	            1	            8	           36
        0.234	            1	            1	            9	           36
        0.256	            1	            1	           10	           36
        0.302	            1	            1	           11	           36
        0.368	            1	            1	           12	           36
        0.348	            1	            1	           13	           36
        0.372	            1	            1	           14	           36
         0.43	            1	            1	           15	           36
        0.412	            1	            1	           16	           36
        0.506	            1	            1	           17	           36
         0.02	            1	            1	            1	           37
         0.05	            1	            1	            2	           37
         0.09	            1	            1	            3	           37
        0.098	            1	            1	            4	           37
        0.146	            1	            1	            5	           37
        0.172	            1	            1	            6	           37
        0.182	            1	            1	            7	           37
        0.238	            1	            1	            8	           37
        0.308	            1	            1	            9	           37
        0.298	            1	            1	           10	           37
        0.306	            1	            1	           11	           37
        0.328	            1	            1	           12	           37
        0.374	            1	            1	           13	           37
        0.414	            1	            1	           14	           37
        0.384	            1	            1	           15	           37
        0.434	            1	            1	           16	           37
        0.446	            1	            1	           17	           37
        0.022	            1	            1	            1	           38
        0.062	            1	            1	            2	           38
         0.09	            1	            1	            3	           38
          0.1	            1	            1	            4	           38
        0.112	            1	            1	            5	           38
        0.164	            1	            1	            6	           38
        0.178	            1	            1	            7	           38
        0.208	            1	            1	            8	           38
        0.234	            1	            1	            9	           38
         0.26	            1	            1	           10	           38
        0.274	            1	            1	           11	           38
        0.312	            1	            1	           12	           38
        0.344	            1	            1	           13	           38
        0.352	            1	            1	           14	           38
        0.384	            1	            1	           15	           38
         0.45	            1	            1	           16	           38
        0.414	            1	            1	           17	           38
        0.036	            1	            1	            1	           39
        0.044	            1	            1	            2	           39
         0.07	            1	            1	            3	           39
        0.094	            1	            1	            4	           39
        0.136	            1	            1	            5	           39
        0.138	            1	            1	            6	           39
        0.164	            1	            1	            7	           39
        0.196	            1	            1	            8	           39
        0.204	            1	            1	            9	           39
        0.252	            1	            1	           10	           39
        0.266	            1	            1	           11	           39
        0.294	            1	            1	           12	           39
         0.36	            1	            1	           13	           39
         0.36	            1	            1	           14	           39
        0.392	            1	            1	           15	           39
        0.404	            1	            1	           16	           39
        0.444	            1	            1	           17	           39
        0.024	            1	            1	            1	           40
        0.052	            1	            1	            2	           40
        0.062	            1	            1	            3	           40
        0.084	            1	            1	            4	           40
        0.142	            1	            1	            5	           40
         0.15	            1	            1	            6	           40
        0.184	            1	            1	            7	           40
        0.192	            1	            1	            8	           40
        0.204	            1	            1	            9	           40
        0.246	            1	            1	           10	           40
         0.27	            1	            1	           11	           40
        0.292	            1	            1	           12	           40
         0.33	            1	            1	           13	           40
        0.352	            1	            1	           14	           40
        0.374	            1	            1	           15	           40
         0.38	            1	            1	           16	           40
          0.4	            1	            1	           17	           40
        0.028	            1	            1	            1	           41
         0.05	            1	            1	            2	           41
        0.054	            1	            1	            3	           41
        0.084	            1	            1	            4	           41
        0.112	            1	            1	            5	           41
        0.178	            1	            1	            6	           41
        0.162	            1	            1	            7	           41
         0.22	            1	            1	            8	           41
         0.21	            1	            1	            9	           41
         0.25	            1	            1	           10	           41
        0.272	            1	            1	           11	           41
        0.324	            1	            1	           12	           41
        0.332	            1	            1	           13	           41
        0.392	            1	            1	           14	           41
         0.35	            1	            1	           15	           41
        0.398	            1	            1	           16	           41
        0.412	            1	            1	           17	           41
        0.024	            1	            1	            1	           42
        0.044	            1	            1	            2	           42
        0.084	            1	            1	            3	           42
        0.074	            1	            1	            4	           42
        0.116	            1	            1	            5	           42
