Probability	Target freq	Row freq	Deck freq	Number to draw	Deck size
    0.528	        1	        0	        1	       15	       28
    0.564	        1	        0	        1	       16	       28
     0.65	        1	        0	        1	       17	       28
      0.0	        1	        0	        1	        0	       29
    0.018	        1	        0	        1	        1	       29
    0.078	        1	        0	        1	        2	       29
    0.122	        1	        0	        1	        3	       29
    0.148	        1	        0	        1	        4	       29
    0.172	        1	        0	        1	        5	       29
    0.192	        1	        0	        1	        6	       29
    0.244	        1	        0	        1	        7	       29
    0.286	        1	        0	        1	        8	       29
     0.33	        1	        0	        1	        9	       29
    0.326	        1	        0	        1	       10	       29
    0.382	        1	        0	        1	       11	       29
     0.43	        1	        0	        1	       12	       29
     0.44	        1	        0	        1	       13	       29
    0.484	        1	        0	        1	       14	       29
      0.5	        1	        0	        1	       15	       29
    0.544	        1	        0	        1	       16	       29
    0.586	        1	        0	        1	       17	       29
      0.0	        1	        0	        1	        0	       30
    0.026	        1	        0	        1	        1	       30
    0.054	        1	        0	        1	        2	       30
    0.092	        1	        0	        1	        3	       30
    0.142	        1	        0	        1	        4	       30
     0.16	        1	        0	        1	        5	       30
    0.218	        1	        0	        1	        6	       30
     0.24	        1	        0	        1	        7	       30
    0.278	        1	        0	        1	        8	       30
    0.334	        1	        0	        1	        9	       30
    0.334	        1	        0	        1	       10	       30
    0.366	        1	        0	        1	       11	       30
    0.422	        1	        0	        1	       12	       30
    0.446	        1	        0	        1	       13	       30
     0.46	        1	        0	        1	       14	       30
    0.492	        1	        0	        1	       15	       30
     0.57	        1	        0	        1	       16	       30
    0.556	        1	        0	        1	       17	       30
      0.0	        1	        0	        1	        0	       31
    0.038	        1	        0	        1	        1	       31
    0.058	        1	        0	        1	        2	       31
    0.074	        1	        0	        1	        3	       31
    0.142	        1	        0	        1	        4	       31
    0.184	        1	        0	        1	        5	       31
    0.208	        1	        0	        1	        6	       31
    0.228	        1	        0	        1	        7	       31
    0.244	        1	        0	        1	        8	       31
    0.292	        1	        0	        1	        9	       31
    0.298	        1	        0	        1	       10	       31
    0.372	        1	        0	        1	       11	       31
     0.39	        1	        0	        1	       12	       31
    0.422	        1	        0	        1	       13	       31
    0.464	        1	        0	        1	       14	       31
    0.474	        1	        0	        1	       15	       31
      0.5	        1	        0	        1	       16	       31
    0.532	        1	        0	        1	       17	       31
      0.0	        1	        0	        1	        0	       32
    0.028	        1	        0	        1	        1	       32
    0.066	        1	        0	        1	        2	       32
    0.078	        1	        0	        1	        3	       32
     0.15	        1	        0	        1	        4	       32
    0.142	        1	        0	        1	        5	       32
    0.162	        1	        0	        1	        6	       32
    0.222	        1	        0	        1	        7	       32
    0.248	        1	        0	        1	        8	       32
    0.278	        1	        0	        1	        9	       32
     0.33	        1	        0	        1	       10	       32
    0.386	        1	        0	        1	       11	       32
    0.402	        1	        0	        1	       12	       32
    0.418	        1	        0	        1	       13	       32
    0.456	        1	        0	        1	       14	       32
    0.458	        1	        0	        1	       15	       32
    0.502	        1	        0	        1	       16	       32
    0.504	        1	        0	        1	       17	       32
      0.0	        1	        0	        1	        0	       33
    0.034	        1	        0	        1	        1	       33
    0.078	        1	        0	        1	        2	       33
    0.094	        1	        0	        1	        3	       33
    0.096	        1	        0	        1	        4	       33
     0.15	        1	        0	        1	        5	       33
    0.202	        1	        0	        1	        6	       33
    0.216	        1	        0	        1	        7	       33
    0.224	        1	        0	        1	        8	       33
    0.262	        1	        0	        1	        9	       33
    0.314	        1	        0	        1	       10	       33
    0.314	        1	        0	        1	       11	       33
    0.352	        1	        0	        1	       12	       33
    0.386	        1	        0	        1	       13	       33
    0.448	        1	        0	        1	       14	       33
    0.478	        1	        0	        1	       15	       33
    0.502	        1	        0	        1	       16	       33
     0.54	        1	        0	        1	       17	       33
      0.0	        1	        0	        1	        0	       34
    0.028	        1	        0	        1	        1	       34
     0.05	        1	        0	        1	        2	       34
    0.062	        1	        0	        1	        3	       34
    0.104	        1	        0	        1	        4	       34
    0.156	        1	        0	        1	        5	       34
    0.176	        1	        0	        1	        6	       34
     0.22	        1	        0	        1	        7	       34
     0.24	        1	        0	        1	        8	       34
    0.268	        1	        0	        1	        9	       34
     0.31	        1	        0	        1	       10	       34
    0.336	        1	        0	        1	       11	       34
    0.344	        1	        0	        1	       12	       34
    0.366	        1	        0	        1	       13	       34
    0.382	        1	        0	        1	       14	       34
     0.42	        1	        0	        1	       15	       34
    0.468	        1	        0	        1	       16	       34
      0.5	        1	        0	        1	       17	       34
      0.0	        1	        0	        1	        0	       35
     0.03	        1	        0	        1	        1	       35
    0.062	        1	        0	        1	        2	       35
    0.076	        1	        0	        1	        3	       35
    0.098	        1	        0	        1	        4	       35
    0.102	        1	        0	        1	        5	       35
     0.14	        1	        0	        1	        6	       35
    0.208	        1	        0	        1	        7	       35
    0.228	        1	        0	        1	        8	       35
     0.24	        1	        0	        1	        9	       35
    0.282	        1	        0	        1	       10	       35
      0.3	        1	        0	        1	       11	       35
      0.3	        1	        0	        1	       12	       35
    0.386	        1	        0	        1	       13	       35
